Player Name,Age,Season,Position,Team,Games Played,Games Started,Passing Attempts,Passing Completions,Passing Yards,Passing Touchdowns,Interceptions Thrown,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Fumbles,Field Goals Attempted 0-39,Field Goals Made 0-39,Field Goals Attempted 40-49,Field Goals Made 40-49,Field Goals Attempted 50+,Field Goals Made 50+,Field Goals Attempted,Field Goals Made,Extra Points Attempted,Extra Points Made,Total Yards Allowed,Total Plays,Takeaways,First Downs Allowed,Passing Yards Allowed,Passing Touchdowns Allowed,Rushing Yards Allowed,Rushing Touchdowns Allowed,Penalties Committed,Penalty Yards,First Downs by Penalty,Percent Drives Scored On,Percent Drives Takeaway,ST_Sacks,ST_Interceptions,ST_Fumble Recoveries,ST_Forced Fumbles,ST_Safeties,ST_Special Teams Touchdowns,Fantasy Points From Points,XP2,ESPN ADP,Sleeper ADP,NFL ADP,RTSports ADP,Average ADP,Positional ADP,PPR Fantasy Points Scored,Standard Fantasy Points Scored
A.J. Brown,24.0,2021,WR,TEN,13.0,13.0,2.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,105.0,63.0,869.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,22.0,21.0,25.0,23.8,8.0,180.9,117.9
A.J. Green,33.0,2021,WR,ARI,16.0,9.0,,,,,,0.0,0.0,0.0,92.0,54.0,848.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.0,187.0,204.0,214.0,197.0,64.0,156.8,102.8
AJ Dillon,23.0,2021,RB,GNB,17.0,2.0,,,,,,187.0,803.0,5.0,37.0,34.0,313.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.6,149.6
Aaron Jones,27.0,2021,RB,GNB,15.0,15.0,,,,,,171.0,799.0,4.0,65.0,52.0,391.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,11.0,7.0,11.0,9.4,6.0,227.0,175.0
Aaron Rodgers,38.0,2021,QB,GNB,16.0,16.0,531.0,366.0,4115.0,37.0,4.0,33.0,101.0,3.0,1.0,1.0,-4.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,57.0,43.0,64.0,54.4,5.0,327.3,326.3
Adam Humphries,28.0,2021,WR,WAS,17.0,11.0,,,,,,0.0,0.0,0.0,62.0,41.0,383.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.0,101.0,79.3,38.3
Adam Prentice,24.0,2021,RB,NOR,7.0,3.0,,,,,,3.0,5.0,0.0,3.0,3.0,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,2.1
Adam Shaheen,27.0,2021,TE,MIA,12.0,7.0,,,,,,0.0,0.0,0.0,16.0,12.0,110.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,11.0
Adam Thielen,31.0,2021,WR,MIN,13.0,13.0,,,,,,1.0,2.0,0.0,95.0,67.0,726.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,51.0,54.0,61.0,50.6,20.0,197.8,130.8
Adam Trautman,24.0,2021,TE,NOR,13.0,10.0,,,,,,0.0,0.0,0.0,43.0,27.0,263.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,220.0,242.0,207.5,23.0,63.3,36.3
