Player Name,Age,Season,Position,Team,Games Played,Games Started,Passing Attempts,Passing Completions,Passing Yards,Passing Touchdowns,Interceptions Thrown,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Fumbles,Field Goals Attempted 0-39,Field Goals Made 0-39,Field Goals Attempted 40-49,Field Goals Made 40-49,Field Goals Attempted 50+,Field Goals Made 50+,Field Goals Attempted,Field Goals Made,Extra Points Attempted,Extra Points Made,Total Yards Allowed,Total Plays,Takeaways,First Downs Allowed,Passing Yards Allowed,Passing Touchdowns Allowed,Rushing Yards Allowed,Rushing Touchdowns Allowed,Penalties Committed,Penalty Yards,First Downs by Penalty,Percent Drives Scored On,Percent Drives Takeaway,ST_Sacks,ST_Interceptions,ST_Fumble Recoveries,ST_Forced Fumbles,ST_Safeties,ST_Special Teams Touchdowns,Fantasy Points From Points,XP2,ESPN ADP,Sleeper ADP,NFL ADP,RTSports ADP,Average ADP,Positional ADP
A.J. Brown,26.0,2023,WR,PHI,17.0,17.0,,,,,,0.0,0.0,0.0,158.0,106.0,1456.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,13.0,13.0,15.0,15.0,8.0
A.J. McCarron,33.0,2023,QB,CIN,2.0,0.0,5.0,4.0,19.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,154.0
A.T. Perry,24.0,2023,WR,NOR,10.0,3.0,,,,,,0.0,0.0,0.0,18.0,12.0,246.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.0,,,,422.0,137.0
AJ Dillon,25.0,2023,RB,GNB,15.0,6.0,,,,,,178.0,613.0,2.0,28.0,22.0,223.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,154.0
Aaron Jones,29.0,2023,RB,GNB,11.0,11.0,,,,,,142.0,656.0,2.0,43.0,30.0,233.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,40.0,38.0,39.0,37.3,14.0
Aaron Rodgers,40.0,2023,QB,NYJ,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,94.0,98.0,122.0,101.8,12.0
Adam Prentice,26.0,2023,RB,NOR,13.0,1.0,,,,,,2.0,12.0,0.0,3.0,2.0,12.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.0,,,,492.0,11.0
Adam Thielen,33.0,2023,WR,CAR,17.0,17.0,,,,,,1.0,6.0,0.0,137.0,103.0,1014.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,137.0,127.0,158.0,127.0,137.3,50.0
Adam Trautman,26.0,2023,TE,DEN,17.0,12.0,,,,,,0.0,0.0,0.0,35.0,22.0,204.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.0,,,,336.0,53.0
Aidan O'Connell,25.0,2023,QB,LVR,11.0,10.0,343.0,213.0,2218.0,12.0,7.0,17.0,11.0,1.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.0,,,,369.0,50.0
Albert Okwuegbunam,25.0,2023,TE,PHI,4.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.0,,,,280.0,41.0
Alec Ingold,27.0,2023,RB,MIA,17.0,13.0,,,,,,2.0,0.0,0.0,16.0,13.0,119.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.0,,,,359.0,4.0
Alec Pierce,23.0,2023,WR,IND,17.0,16.0,,,,,,0.0,0.0,0.0,65.0,32.0,514.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.0,270.0,201.0,226.3,75.0
Alex Armah,29.0,2023,RB,WAS,8.0,0.0,,,,,,0.0,0.0,0.0,3.0,3.0,13.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,154.0
Alex Erickson,31.0,2023,WR,LAC,8.0,3.0,,,,,,0.0,0.0,0.0,29.0,16.0,232.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,154.0
Alexander Mattison,25.0,2023,RB,MIN,16.0,13.0,,,,,,180.0,700.0,0.0,44.0,30.0,192.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,57.0,94.0,46.0,62.8,22.0
Allen Lazard,28.0,2023,WR,NYJ,14.0,12.0,,,,,,0.0,0.0,0.0,49.0,23.0,311.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,126.0,154.0,134.0,143.5,51.0
Allen Robinson,30.0,2023,WR,PIT,17.0,17.0,,,,,,0.0,0.0,0.0,49.0,34.0,280.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.0,,264.0,274.0,94.0
Alvin Kamara,28.0,2023,RB,NOR,13.0,12.0,,,,,,180.0,694.0,5.0,86.0,75.0,466.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,51.0,63.0,68.0,64.0,61.5,21.0
Amari Cooper,29.0,2023,WR,CLE,15.0,15.0,,,,,,0.0,0.0,0.0,128.0,72.0,1250.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,41.0,42.0,45.0,40.0,42.0,18.0
Amari Rodgers,24.0,2023,WR,IND,3.0,0.0,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.0,,,,376.0,124.0
Ameer Abdullah,30.0,2023,RB,LVR,17.0,0.0,,,,,,15.0,89.0,0.0,24.0,19.0,131.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,154.0
Amon-Ra St. Brown,24.0,2023,WR,DET,16.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,24.0,0.0,164.0,119.0,1515.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,17.0,21.0,16.0,18.8,10.0
Anders Carlson,25.0,2023,K,GNB,17.0,0.0,,,,,,,,,,,,,,20.0,20.0,8.0,4.0,5.0,3.0,33.0,27.0,39.0,34.0,,,,,,,,,,,,,,,,,,,,,,220.0,,283.0,,251.5,28.0
Andrei Iosivas,24.0,2023,WR,CIN,16.0,1.0,,,,,,0.0,0.0,0.0,25.0,15.0,116.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.0,,,,321.0,114.0
Andrew Beck,27.0,2023,RB,HOU,15.0,12.0,,,,,,5.0,3.0,1.0,13.0,11.0,55.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.0,,,,445.0,9.0
Andrew Ogletree,25.0,2023,TE,IND,12.0,9.0,,,,,,0.0,0.0,0.0,21.0,9.0,147.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,154.0
Andy Dalton,36.0,2023,QB,CAR,3.0,1.0,58.0,34.0,361.0,2.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.0,,,,346.0,49.0
Anthony McFarland Jr.,25.0,2023,RB,PIT,3.0,0.0,,,,,,0.0,0.0,0.0,2.0,2.0,11.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,154.0
Anthony Richardson,21.0,2023,QB,IND,4.0,4.0,84.0,50.0,577.0,3.0,1.0,25.0,136.0,4.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,113.0,118.0,125.0,120.3,14.0
Antoine Green,24.0,2023,WR,DET,9.0,0.0,,,,,,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.0,,,,393.0,131.0
Antonio Gibson,25.0,2023,RB,WAS,16.0,2.0,,,,,,65.0,265.0,1.0,59.0,48.0,389.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.0,98.0,160.0,80.0,112.5,35.0
Austin Ekeler,28.0,2023,RB,LAC,14.0,14.0,,,,,,179.0,628.0,5.0,74.0,51.0,436.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,3.0,4.0,3.8,2.0
Austin Hooper,29.0,2023,TE,LVR,17.0,9.0,,,,,,0.0,0.0,0.0,31.0,25.0,234.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,154.0
